Aufgabe,Verantwortlich,Frist,Status,Kommentar
Anzeige Brandenburg final pruefen,Steuerteam,08.05.2026,erledigt,Versandnachweis im Datenraum
Anzeige Hessen final pruefen,Steuerteam,08.05.2026,erledigt,Versandnachweis im Datenraum
Anzeige NRW final pruefen,Steuerteam,08.05.2026,erledigt,Versandnachweis im Datenraum
Vollstaendiges Closing Memorandum an FA Oranienburg senden,Corporate Team,15.05.2026,offen,Nur nach Privilege-Check
Bescheideingang ueberwachen,SHC Germany HoldCo,taeglich bis 30.06.2026,offen,Posteingang Frankfurt und Beraterpostfach
Einspruchsfrist nach Bescheid notieren,Steuerteam,bei Bekanntgabe,offen,Vorfrist 10 Tage
AdV-Entwurf vorbereiten,Steuerteam,20.05.2026,in Arbeit,Auf BFH II B 13/25 und II B 47/25 stuetzen
Escrow-Freigabe stoppen,Corporate Team,sofort,erledigt,Notice an Escrow Agent 13.05.2026
SPA Amendment Steuerklausel entwerfen,Corporate/Tax,24.05.2026,offen,Signing/Closing-Doppelrisiko regeln
§ 16 GrEStG Route pruefen,Steuerteam,24.05.2026,offen,Abhaengig vom Bescheidinhalt
